trial,question_index,question_text,answer_index,answer_text,pp
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
5,9,9. I would use this response as my own.,7,,P19
6,1,1. I am in control of what my avatar says,2,,P19
6,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19
6,3,3. My avatar's speech just happen without my intention,5,,P19
6,4,4. I am the author of my avatar's speech,2,,P19
6,5,5. Things my avatar says are subject only to my free will,2,,P19
6,6,6. Nothing my avatar says is actually voluntary,5,,P19
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19
6,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
6,9,9. I would use this response as my own.,3,,P19
7,1,1. I am in control of what my avatar says,2,,P19
7,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19
7,3,3. My avatar's speech just happen without my intention,7,,P19
7,4,4. I am the author of my avatar's speech,1,,P19
7,5,5. Things my avatar says are subject only to my free will,1,,P19
7,6,6. Nothing my avatar says is actually voluntary,6,,P19
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19
7,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
7,9,9. I would use this response as my own.,2,,P19
8,1,1. I am in control of what my avatar says,1,,P19
8,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19
8,3,3. My avatar's speech just happen without my intention,5,,P19
8,4,4. I am the author of my avatar's speech,2,,P19
8,5,5. Things my avatar says are subject only to my free will,1,,P19
8,6,6. Nothing my avatar says is actually voluntary,6,,P19
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19
8,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
8,9,9. I would use this response as my own.,7,,P19
9,1,1. I am in control of what my avatar says,1,,P19
9,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19
9,3,3. My avatar's speech just happen without my intention,5,,P19
9,4,4. I am the author of my avatar's speech,2,,P19
9,5,5. Things my avatar says are subject only to my free will,1,,P19
9,6,6. Nothing my avatar says is actually voluntary,5,,P19
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19
9,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
9,9,9. I would use this response as my own.,6,,P19
10,1,1. I am in control of what my avatar says,1,,P19
10,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19
10,3,3. My avatar's speech just happen without my intention,5,,P19
10,4,4. I am the author of my avatar's speech,1,,P19
10,5,5. Things my avatar says are subject only to my free will,1,,P19
10,6,6. Nothing my avatar says is actually voluntary,7,,P19
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19
10,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
10,9,9. I would use this response as my own.,1,,P19
11,1,1. I am in control of what my avatar says,1,,P19
11,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19
11,3,3. My avatar's speech just happen without my intention,6,,P19
11,4,4. I am the author of my avatar's speech,2,,P19
11,5,5. Things my avatar says are subject only to my free will,1,,P19
11,6,6. Nothing my avatar says is actually voluntary,5,,P19
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19
11,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
11,9,9. I would use this response as my own.,8,,P19
12,1,1. I am in control of what my avatar says,1,,P19
12,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19
12,3,3. My avatar's speech just happen without my intention,5,,P19
12,4,4. I am the author of my avatar's speech,2,,P19
12,5,5. Things my avatar says are subject only to my free will,1,,P19
12,6,6. Nothing my avatar says is actually voluntary,1,,P19
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19
12,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19
12,9,9. I would use this response as my own.,5,,P19
1,1,1. I am in control of what my avatar says,1,,P26
1,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P26
1,3,3. My avatar's speech just happen without my intention,7,,P26
1,4,4. I am the author of my avatar's speech,1,,P26
1,5,5. Things my avatar says are subject only to my free will,2,,P26
1,6,6. Nothing my avatar says is actually voluntary,2,,P26
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
1,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P26
1,9,9. I would use this response as my own.,6,,P26
2,1,1. I am in control of what my avatar says,3,,P26
2,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P26
2,3,3. My avatar's speech just happen without my intention,2,,P26
2,4,4. I am the author of my avatar's speech,2,,P26
2,5,5. Things my avatar says are subject only to my free will,3,,P26
2,6,6. Nothing my avatar says is actually voluntary,4,,P26
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P26
2,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P26
2,9,9. I would use this response as my own.,6,,P26
3,1,1. I am in control of what my avatar says,1,,P26
3,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P26
3,3,3. My avatar's speech just happen without my intention,7,,P26
3,4,4. I am the author of my avatar's speech,1,,P26
3,5,5. Things my avatar says are subject only to my free will,2,,P26
3,6,6. Nothing my avatar says is actually voluntary,3,,P26
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
3,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P26
3,9,9. I would use this response as my own.,1,,P26
4,1,1. I am in control of what my avatar says,5,,P26
4,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P26
4,3,3. My avatar's speech just happen without my intention,3,,P26
4,4,4. I am the author of my avatar's speech,4,,P26
4,5,5. Things my avatar says are subject only to my free will,3,,P26
4,6,6. Nothing my avatar says is actually voluntary,3,,P26
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
4,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P26
4,9,9. I would use this response as my own.,9,,P26
5,1,1. I am in control of what my avatar says,1,,P26
5,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26
5,3,3. My avatar's speech just happen without my intention,5,,P26
5,4,4. I am the author of my avatar's speech,1,,P26
5,5,5. Things my avatar says are subject only to my free will,1,,P26
5,6,6. Nothing my avatar says is actually voluntary,6,,P26
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26
5,9,9. I would use this response as my own.,1,,P26
6,1,1. I am in control of what my avatar says,4,,P26
6,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P26
6,3,3. My avatar's speech just happen without my intention,4,,P26
6,4,4. I am the author of my avatar's speech,6,,P26
6,5,5. Things my avatar says are subject only to my free will,4,,P26
6,6,6. Nothing my avatar says is actually voluntary,4,,P26
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
6,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P26
6,9,9. I would use this response as my own.,8,,P26
7,1,1. I am in control of what my avatar says,4,,P26
7,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P26
7,3,3. My avatar's speech just happen without my intention,5,,P26
7,4,4. I am the author of my avatar's speech,7,,P26
7,5,5. Things my avatar says are subject only to my free will,2,,P26
7,6,6. Nothing my avatar says is actually voluntary,5,,P26
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
7,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26
7,9,9. I would use this response as my own.,10,,P26
8,1,1. I am in control of what my avatar says,6,,P26
8,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P26
8,3,3. My avatar's speech just happen without my intention,5,,P26
8,4,4. I am the author of my avatar's speech,2,,P26
8,5,5. Things my avatar says are subject only to my free will,2,,P26
8,6,6. Nothing my avatar says is actually voluntary,3,,P26
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
8,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26
8,9,9. I would use this response as my own.,5,,P26
9,1,1. I am in control of what my avatar says,1,,P26
9,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26
9,3,3. My avatar's speech just happen without my intention,4,,P26
9,4,4. I am the author of my avatar's speech,4,,P26
9,5,5. Things my avatar says are subject only to my free will,2,,P26
9,6,6. Nothing my avatar says is actually voluntary,5,,P26
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P26
9,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26
9,9,9. I would use this response as my own.,10,,P26
10,1,1. I am in control of what my avatar says,3,,P26
10,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P26
10,3,3. My avatar's speech just happen without my intention,4,,P26
10,4,4. I am the author of my avatar's speech,7,,P26
10,5,5. Things my avatar says are subject only to my free will,2,,P26
10,6,6. Nothing my avatar says is actually voluntary,5,,P26
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
10,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26
10,9,9. I would use this response as my own.,10,,P26
11,1,1. I am in control of what my avatar says,2,,P26
11,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26
11,3,3. My avatar's speech just happen without my intention,5,,P26
11,4,4. I am the author of my avatar's speech,1,,P26
11,5,5. Things my avatar says are subject only to my free will,1,,P26
11,6,6. Nothing my avatar says is actually voluntary,2,,P26
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
11,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26
11,9,9. I would use this response as my own.,1,,P26
12,1,1. I am in control of what my avatar says,1,,P26
12,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26
12,3,3. My avatar's speech just happen without my intention,5,,P26
12,4,4. I am the author of my avatar's speech,2,,P26
12,5,5. Things my avatar says are subject only to my free will,2,,P26
12,6,6. Nothing my avatar says is actually voluntary,3,,P26
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26
12,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26
12,9,9. I would use this response as my own.,10,,P26
1,1,1. I am in control of what my avatar says,7,,P21
1,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P21
1,3,3. My avatar's speech just happen without my intention,1,,P21
1,4,4. I am the author of my avatar's speech,7,,P21
1,5,5. Things my avatar says are subject only to my free will,7,,P21
1,6,6. Nothing my avatar says is actually voluntary,7,,P21
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21
1,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21
1,9,9. I would use this response as my own.,10,,P21
2,1,1. I am in control of what my avatar says,5,,P21
2,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P21
2,3,3. My avatar's speech just happen without my intention,5,,P21
2,4,4. I am the author of my avatar's speech,4,,P21
2,5,5. Things my avatar says are subject only to my free will,4,,P21
2,6,6. Nothing my avatar says is actually voluntary,4,,P21
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P21
2,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P21
2,9,9. I would use this response as my own.,4,,P21
3,1,1. I am in control of what my avatar says,6,,P21
3,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21
3,3,3. My avatar's speech just happen without my intention,1,,P21
3,4,4. I am the author of my avatar's speech,7,,P21
3,5,5. Things my avatar says are subject only to my free will,7,,P21
3,6,6. Nothing my avatar says is actually voluntary,7,,P21
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21
3,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21
3,9,9. I would use this response as my own.,10,,P21
4,1,1. I am in control of what my avatar says,5,,P21
4,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21
4,3,3. My avatar's speech just happen without my intention,4,,P21
4,4,4. I am the author of my avatar's speech,6,,P21
4,5,5. Things my avatar says are subject only to my free will,7,,P21
4,6,6. Nothing my avatar says is actually voluntary,5,,P21
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P21
4,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P21
4,9,9. I would use this response as my own.,10,,P21
5,1,1. I am in control of what my avatar says,2,,P21
5,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21
5,3,3. My avatar's speech just happen without my intention,4,,P21
5,4,4. I am the author of my avatar's speech,1,,P21
5,5,5. Things my avatar says are subject only to my free will,1,,P21
5,6,6. Nothing my avatar says is actually voluntary,1,,P21
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P21
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P21
5,9,9. I would use this response as my own.,1,,P21
6,1,1. I am in control of what my avatar says,7,,P21
6,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21
6,3,3. My avatar's speech just happen without my intention,4,,P21
6,4,4. I am the author of my avatar's speech,7,,P21
6,5,5. Things my avatar says are subject only to my free will,7,,P21
6,6,6. Nothing my avatar says is actually voluntary,7,,P21
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21
6,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21
6,9,9. I would use this response as my own.,10,,P21
7,1,1. I am in control of what my avatar says,7,,P21
7,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P21
7,3,3. My avatar's speech just happen without my intention,3,,P21
7,4,4. I am the author of my avatar's speech,7,,P21
7,5,5. Things my avatar says are subject only to my free will,7,,P21
7,6,6. Nothing my avatar says is actually voluntary,7,,P21
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21
7,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21
7,9,9. I would use this response as my own.,10,,P21
8,1,1. I am in control of what my avatar says,2,,P21
8,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P21
8,3,3. My avatar's speech just happen without my intention,4,,P21
8,4,4. I am the author of my avatar's speech,2,,P21
8,5,5. Things my avatar says are subject only to my free will,2,,P21
8,6,6. Nothing my avatar says is actually voluntary,1,,P21
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P21
8,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P21
8,9,9. I would use this response as my own.,1,,P21
9,1,1. I am in control of what my avatar says,3,,P21
9,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21
9,3,3. My avatar's speech just happen without my intention,4,,P21
9,4,4. I am the author of my avatar's speech,4,,P21
9,5,5. Things my avatar says are subject only to my free will,4,,P21
9,6,6. Nothing my avatar says is actually voluntary,3,,P21
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P21
9,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P21
9,9,9. I would use this response as my own.,9,,P21
10,1,1. I am in control of what my avatar says,7,,P21
10,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21
10,3,3. My avatar's speech just happen without my intention,4,,P21
10,4,4. I am the author of my avatar's speech,7,,P21
10,5,5. Things my avatar says are subject only to my free will,7,,P21
10,6,6. Nothing my avatar says is actually voluntary,7,,P21
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21
10,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21
10,9,9. I would use this response as my own.,10,,P21
11,1,1. I am in control of what my avatar says,1,,P21
11,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P21
11,3,3. My avatar's speech just happen without my intention,4,,P21
11,4,4. I am the author of my avatar's speech,2,,P21
11,5,5. Things my avatar says are subject only to my free will,2,,P21
11,6,6. Nothing my avatar says is actually voluntary,2,,P21
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P21
11,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P21
11,9,9. I would use this response as my own.,2,,P21
12,1,1. I am in control of what my avatar says,5,,P21
12,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P21
12,3,3. My avatar's speech just happen without my intention,4,,P21
12,4,4. I am the author of my avatar's speech,3,,P21
12,5,5. Things my avatar says are subject only to my free will,4,,P21
12,6,6. Nothing my avatar says is actually voluntary,4,,P21
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P21
12,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P21
12,9,9. I would use this response as my own.,8,,P21
1,1,1. I am in control of what my avatar says,2,,P28
1,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P28
1,3,3. My avatar's speech just happen without my intention,2,,P28
1,4,4. I am the author of my avatar's speech,2,,P28
1,5,5. Things my avatar says are subject only to my free will,2,,P28
1,6,6. Nothing my avatar says is actually voluntary,6,,P28
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P28
1,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P28
1,9,9. I would use this response as my own.,4,,P28
2,1,1. I am in control of what my avatar says,4,,P28
2,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P28
2,3,3. My avatar's speech just happen without my intention,5,,P28
2,4,4. I am the author of my avatar's speech,3,,P28
2,5,5. Things my avatar says are subject only to my free will,3,,P28
2,6,6. Nothing my avatar says is actually voluntary,5,,P28
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P28
2,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P28
2,9,9. I would use this response as my own.,6,,P28
3,1,1. I am in control of what my avatar says,6,,P28
3,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P28
3,3,3. My avatar's speech just happen without my intention,2,,P28
3,4,4. I am the author of my avatar's speech,6,,P28
3,5,5. Things my avatar says are subject only to my free will,5,,P28
3,6,6. Nothing my avatar says is actually voluntary,2,,P28
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P28
3,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28
3,9,9. I would use this response as my own.,10,,P28
4,1,1. I am in control of what my avatar says,6,,P28
4,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P28
4,3,3. My avatar's speech just happen without my intention,2,,P28
4,4,4. I am the author of my avatar's speech,6,,P28
4,5,5. Things my avatar says are subject only to my free will,6,,P28
4,6,6. Nothing my avatar says is actually voluntary,2,,P28
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P28
4,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28
4,9,9. I would use this response as my own.,10,,P28
5,1,1. I am in control of what my avatar says,7,,P28
5,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P28
5,3,3. My avatar's speech just happen without my intention,2,,P28
5,4,4. I am the author of my avatar's speech,6,,P28
5,5,5. Things my avatar says are subject only to my free will,5,,P28
5,6,6. Nothing my avatar says is actually voluntary,2,,P28
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P28
5,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28
5,9,9. I would use this response as my own.,10,,P28
6,1,1. I am in control of what my avatar says,7,,P28
6,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P28
6,3,3. My avatar's speech just happen without my intention,2,,P28
6,4,4. I am the author of my avatar's speech,7,,P28
6,5,5. Things my avatar says are subject only to my free will,6,,P28
6,6,6. Nothing my avatar says is actually voluntary,6,,P28
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P28
6,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28
6,9,9. I would use this response as my own.,10,,P28
7,1,1. I am in control of what my avatar says,7,,P28
7,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P28
7,3,3. My avatar's speech just happen without my intention,1,,P28
7,4,4. I am the author of my avatar's speech,7,,P28
7,5,5. Things my avatar says are subject only to my free will,6,,P28
7,6,6. Nothing my avatar says is actually voluntary,6,,P28
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P28
7,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28
7,9,9. I would use this response as my own.,10,,P28
8,1,1. I am in control of what my avatar says,5,,P28
8,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P28
8,3,3. My avatar's speech just happen without my intention,5,,P28
8,4,4. I am the author of my avatar's speech,4,,P28
8,5,5. Things my avatar says are subject only to my free will,3,,P28
8,6,6. Nothing my avatar says is actually voluntary,5,,P28
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P28
8,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P28
8,9,9. I would use this response as my own.,8,,P28
9,1,1. I am in control of what my avatar says,1,,P28
9,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P28
9,3,3. My avatar's speech just happen without my intention,7,,P28
9,4,4. I am the author of my avatar's speech,1,,P28
9,5,5. Things my avatar says are subject only to my free will,1,,P28
9,6,6. Nothing my avatar says is actually voluntary,7,,P28
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P28
9,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P28
9,9,9. I would use this response as my own.,1,,P28
10,1,1. I am in control of what my avatar says,7,,P28
10,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P28
10,3,3. My avatar's speech just happen without my intention,1,,P28
10,4,4. I am the author of my avatar's speech,7,,P28
10,5,5. Things my avatar says are subject only to my free will,6,,P28
10,6,6. Nothing my avatar says is actually voluntary,5,,P28
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P28
10,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P28
10,9,9. I would use this response as my own.,10,,P28
11,1,1. I am in control of what my avatar says,6,,P28
11,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P28
11,3,3. My avatar's speech just happen without my intention,5,,P28
11,4,4. I am the author of my avatar's speech,6,,P28
11,5,5. Things my avatar says are subject only to my free will,1,,P28
11,6,6. Nothing my avatar says is actually voluntary,3,,P28
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P28
11,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P28
11,9,9. I would use this response as my own.,10,,P28
12,1,1. I am in control of what my avatar says,3,,P28
12,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P28
12,3,3. My avatar's speech just happen without my intention,5,,P28
12,4,4. I am the author of my avatar's speech,5,,P28
12,5,5. Things my avatar says are subject only to my free will,1,,P28
12,6,6. Nothing my avatar says is actually voluntary,3,,P28
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P28
12,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P28
12,9,9. I would use this response as my own.,10,,P28
1,1,1. I am in control of what my avatar says,6,,P17
1,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P17
1,3,3. My avatar's speech just happen without my intention,2,,P17
1,4,4. I am the author of my avatar's speech,4,,P17
1,5,5. Things my avatar says are subject only to my free will,2,,P17
1,6,6. Nothing my avatar says is actually voluntary,1,,P17
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P17
1,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P17
1,9,9. I would use this response as my own.,8,,P17
2,1,1. I am in control of what my avatar says,7,,P17
2,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P17
2,3,3. My avatar's speech just happen without my intention,1,,P17
2,4,4. I am the author of my avatar's speech,7,,P17
2,5,5. Things my avatar says are subject only to my free will,7,,P17
2,6,6. Nothing my avatar says is actually voluntary,1,,P17
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P17
2,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P17
2,9,9. I would use this response as my own.,10,,P17
3,1,1. I am in control of what my avatar says,1,,P17
3,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P17
3,3,3. My avatar's speech just happen without my intention,4,,P17
3,4,4. I am the author of my avatar's speech,2,,P17
3,5,5. Things my avatar says are subject only to my free will,1,,P17
3,6,6. Nothing my avatar says is actually voluntary,3,,P17
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P17
3,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P17
3,9,9. I would use this response as my own.,1,,P17
4,1,1. I am in control of what my avatar says,7,,P17
4,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P17
4,3,3. My avatar's speech just happen without my intention,7,,P17
4,4,4. I am the author of my avatar's speech,7,,P17
4,5,5. Things my avatar says are subject only to my free will,7,,P17
4,6,6. Nothing my avatar says is actually voluntary,7,,P17
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P17
4,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P17
4,9,9. I would use this response as my own.,10,,P17
5,1,1. I am in control of what my avatar says,6,,P17
5,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P17
5,3,3. My avatar's speech just happen without my intention,1,,P17
5,4,4. I am the author of my avatar's speech,6,,P17
5,5,5. Things my avatar says are subject only to my free will,5,,P17
5,6,6. Nothing my avatar says is actually voluntary,3,,P17
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P17
5,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P17
5,9,9. I would use this response as my own.,9,,P17
6,1,1. I am in control of what my avatar says,2,,P17
6,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P17
6,3,3. My avatar's speech just happen without my intention,5,,P17
6,4,4. I am the author of my avatar's speech,3,,P17
6,5,5. Things my avatar says are subject only to my free will,2,,P17
6,6,6. Nothing my avatar says is actually voluntary,2,,P17
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P17
6,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P17
6,9,9. I would use this response as my own.,1,,P17
