trial,scene_id,context,generation_rule,condition,raw_voice_id,pp
12,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,1,clone,P19
1,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P26
2,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P26
3,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P26
4,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P26
5,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P26
6,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P26
7,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,1,robotic_male,P26
8,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_male,P26
9,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,2,robotic_male,P26
10,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,1,robotic_male,P26
11,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_male,P26
12,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,2,robotic_male,P26
1,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,robotic_male,P21
2,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,robotic_male,P21
3,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,robotic_male,P21
4,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,robotic_male,P21
5,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,robotic_male,P21
6,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,robotic_male,P21
7,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,1,clone,P21
8,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,clone,P21
9,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,2,clone,P21
10,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,1,clone,P21
11,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,clone,P21
12,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,2,clone,P21
1,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,3,clone,P28
2,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P28
3,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,1,clone,P28
4,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,3,clone,P28
5,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P28
6,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,1,clone,P28
7,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_male,P28
8,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,robotic_male,P28
9,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_male,P28
10,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_male,P28
11,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,robotic_male,P28
12,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_male,P28
1,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,2,robotic_male,P17
2,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,robotic_male,P17
3,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,3,robotic_male,P17
4,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,2,robotic_male,P17
5,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,robotic_male,P17
6,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,3,robotic_male,P17
7,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,clone,P17
8,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,clone,P17
9,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,clone,P17
10,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,clone,P17
11,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,clone,P17
12,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,clone,P17
1,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,1,clone,P10
2,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,clone,P10
3,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,2,clone,P10
4,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,1,clone,P10
5,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,clone,P10
6,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,2,clone,P10
7,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,robotic_male,P10
8,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,robotic_male,P10
9,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,robotic_male,P10
10,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,robotic_male,P10
11,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,robotic_male,P10
12,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,robotic_male,P10
1,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,2,clone,P11
2,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P11
3,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,3,clone,P11
4,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,2,clone,P11
5,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P11
6,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,3,clone,P11
7,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P11
8,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_female,P11
9,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,robotic_female,P11
10,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_female,P11
11,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_female,P11
12,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,robotic_female,P11
1,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,1,clone,P29
2,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P29
3,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,2,clone,P29
4,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,robotic_female,P29
5,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P29
6,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_female,P29
7,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,robotic_female,P29
8,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_female,P29
9,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_female,P29
10,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,1,clone,P29
11,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P29
12,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,2,clone,P29
1,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,1,robotic_female,P16
2,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_female,P16
3,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,2,robotic_female,P16
4,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,1,robotic_female,P16
5,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P16
6,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,2,robotic_female,P16
7,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P16
8,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P16
9,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P16
10,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P16
11,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P16
12,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P16
1,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,2,robotic_male,P18
2,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_male,P18
3,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,3,robotic_male,P18
4,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,2,robotic_male,P18
5,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_male,P18
6,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,3,robotic_male,P18
7,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P18
8,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P18
9,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P18
10,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P18
11,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P18
12,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P18
1,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,2,clone,P27
2,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P27
3,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,3,clone,P27
4,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,2,clone,P27
5,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P27
6,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,3,clone,P27
7,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_female,P27
8,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_female,P27
9,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,robotic_female,P27
10,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_female,P27
11,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_female,P27
12,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,robotic_female,P27
1,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P05
2,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P05
3,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P05
4,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P05
5,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P05
6,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P05
7,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,2,robotic_male,P05
8,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_male,P05
