trial,question_index,question_text,answer_index,answer_text,pp,condition,voice_id,scene_id
3,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,counter,robotic,11
3,9,9. I would use this response as my own.,1,,P19,counter,robotic,11
4,1,1. I am in control of what my avatar says,2,,P19,repeat,robotic,1
4,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,repeat,robotic,1
4,3,3. My avatar's speech just happen without my intention,5,,P19,repeat,robotic,1
4,4,4. I am the author of my avatar's speech,2,,P19,repeat,robotic,1
4,5,5. Things my avatar says are subject only to my free will,2,,P19,repeat,robotic,1
4,6,6. Nothing my avatar says is actually voluntary,5,,P19,repeat,robotic,1
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,repeat,robotic,1
4,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,repeat,robotic,1
4,9,9. I would use this response as my own.,7,,P19,repeat,robotic,1
5,1,1. I am in control of what my avatar says,2,,P19,enhance,robotic,3
5,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,enhance,robotic,3
5,3,3. My avatar's speech just happen without my intention,5,,P19,enhance,robotic,3
5,4,4. I am the author of my avatar's speech,2,,P19,enhance,robotic,3
5,5,5. Things my avatar says are subject only to my free will,2,,P19,enhance,robotic,3
5,6,6. Nothing my avatar says is actually voluntary,5,,P19,enhance,robotic,3
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,enhance,robotic,3
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,enhance,robotic,3
5,9,9. I would use this response as my own.,7,,P19,enhance,robotic,3
6,1,1. I am in control of what my avatar says,2,,P19,counter,robotic,5
6,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,counter,robotic,5
6,3,3. My avatar's speech just happen without my intention,5,,P19,counter,robotic,5
6,4,4. I am the author of my avatar's speech,2,,P19,counter,robotic,5
6,5,5. Things my avatar says are subject only to my free will,2,,P19,counter,robotic,5
6,6,6. Nothing my avatar says is actually voluntary,5,,P19,counter,robotic,5
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,counter,robotic,5
6,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,counter,robotic,5
6,9,9. I would use this response as my own.,3,,P19,counter,robotic,5
7,1,1. I am in control of what my avatar says,2,,P19,counter,clone,8
7,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,counter,clone,8
7,3,3. My avatar's speech just happen without my intention,7,,P19,counter,clone,8
7,4,4. I am the author of my avatar's speech,1,,P19,counter,clone,8
7,5,5. Things my avatar says are subject only to my free will,1,,P19,counter,clone,8
7,6,6. Nothing my avatar says is actually voluntary,6,,P19,counter,clone,8
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,counter,clone,8
7,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,counter,clone,8
7,9,9. I would use this response as my own.,2,,P19,counter,clone,8
8,1,1. I am in control of what my avatar says,1,,P19,enhance,clone,10
8,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,enhance,clone,10
8,3,3. My avatar's speech just happen without my intention,5,,P19,enhance,clone,10
8,4,4. I am the author of my avatar's speech,2,,P19,enhance,clone,10
8,5,5. Things my avatar says are subject only to my free will,1,,P19,enhance,clone,10
8,6,6. Nothing my avatar says is actually voluntary,6,,P19,enhance,clone,10
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,enhance,clone,10
8,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,enhance,clone,10
8,9,9. I would use this response as my own.,7,,P19,enhance,clone,10
9,1,1. I am in control of what my avatar says,1,,P19,repeat,clone,12
9,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19,repeat,clone,12
9,3,3. My avatar's speech just happen without my intention,5,,P19,repeat,clone,12
9,4,4. I am the author of my avatar's speech,2,,P19,repeat,clone,12
9,5,5. Things my avatar says are subject only to my free will,1,,P19,repeat,clone,12
9,6,6. Nothing my avatar says is actually voluntary,5,,P19,repeat,clone,12
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,repeat,clone,12
9,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,repeat,clone,12
9,9,9. I would use this response as my own.,6,,P19,repeat,clone,12
10,1,1. I am in control of what my avatar says,1,,P19,counter,clone,2
10,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19,counter,clone,2
10,3,3. My avatar's speech just happen without my intention,5,,P19,counter,clone,2
10,4,4. I am the author of my avatar's speech,1,,P19,counter,clone,2
10,5,5. Things my avatar says are subject only to my free will,1,,P19,counter,clone,2
10,6,6. Nothing my avatar says is actually voluntary,7,,P19,counter,clone,2
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,counter,clone,2
10,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,counter,clone,2
10,9,9. I would use this response as my own.,1,,P19,counter,clone,2
11,1,1. I am in control of what my avatar says,1,,P19,enhance,clone,4
11,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19,enhance,clone,4
11,3,3. My avatar's speech just happen without my intention,6,,P19,enhance,clone,4
11,4,4. I am the author of my avatar's speech,2,,P19,enhance,clone,4
11,5,5. Things my avatar says are subject only to my free will,1,,P19,enhance,clone,4
11,6,6. Nothing my avatar says is actually voluntary,5,,P19,enhance,clone,4
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,enhance,clone,4
11,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,enhance,clone,4
11,9,9. I would use this response as my own.,8,,P19,enhance,clone,4
12,1,1. I am in control of what my avatar says,1,,P19,repeat,clone,6
12,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P19,repeat,clone,6
12,3,3. My avatar's speech just happen without my intention,5,,P19,repeat,clone,6
12,4,4. I am the author of my avatar's speech,2,,P19,repeat,clone,6
12,5,5. Things my avatar says are subject only to my free will,1,,P19,repeat,clone,6
12,6,6. Nothing my avatar says is actually voluntary,1,,P19,repeat,clone,6
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,repeat,clone,6
12,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,repeat,clone,6
12,9,9. I would use this response as my own.,5,,P19,repeat,clone,6
1,1,1. I am in control of what my avatar says,1,,P26,enhance,clone,3
1,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P26,enhance,clone,3
1,3,3. My avatar's speech just happen without my intention,7,,P26,enhance,clone,3
1,4,4. I am the author of my avatar's speech,1,,P26,enhance,clone,3
1,5,5. Things my avatar says are subject only to my free will,2,,P26,enhance,clone,3
1,6,6. Nothing my avatar says is actually voluntary,2,,P26,enhance,clone,3
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,enhance,clone,3
1,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P26,enhance,clone,3
1,9,9. I would use this response as my own.,6,,P26,enhance,clone,3
2,1,1. I am in control of what my avatar says,3,,P26,counter,clone,5
2,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P26,counter,clone,5
2,3,3. My avatar's speech just happen without my intention,2,,P26,counter,clone,5
2,4,4. I am the author of my avatar's speech,2,,P26,counter,clone,5
2,5,5. Things my avatar says are subject only to my free will,3,,P26,counter,clone,5
2,6,6. Nothing my avatar says is actually voluntary,4,,P26,counter,clone,5
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P26,counter,clone,5
2,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P26,counter,clone,5
2,9,9. I would use this response as my own.,6,,P26,counter,clone,5
3,1,1. I am in control of what my avatar says,1,,P26,repeat,clone,7
3,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P26,repeat,clone,7
3,3,3. My avatar's speech just happen without my intention,7,,P26,repeat,clone,7
3,4,4. I am the author of my avatar's speech,1,,P26,repeat,clone,7
3,5,5. Things my avatar says are subject only to my free will,2,,P26,repeat,clone,7
3,6,6. Nothing my avatar says is actually voluntary,3,,P26,repeat,clone,7
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,repeat,clone,7
3,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P26,repeat,clone,7
3,9,9. I would use this response as my own.,1,,P26,repeat,clone,7
4,1,1. I am in control of what my avatar says,5,,P26,enhance,clone,9
4,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P26,enhance,clone,9
4,3,3. My avatar's speech just happen without my intention,3,,P26,enhance,clone,9
4,4,4. I am the author of my avatar's speech,4,,P26,enhance,clone,9
4,5,5. Things my avatar says are subject only to my free will,3,,P26,enhance,clone,9
4,6,6. Nothing my avatar says is actually voluntary,3,,P26,enhance,clone,9
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,enhance,clone,9
4,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P26,enhance,clone,9
4,9,9. I would use this response as my own.,9,,P26,enhance,clone,9
5,1,1. I am in control of what my avatar says,1,,P26,counter,clone,11
5,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26,counter,clone,11
5,3,3. My avatar's speech just happen without my intention,5,,P26,counter,clone,11
5,4,4. I am the author of my avatar's speech,1,,P26,counter,clone,11
5,5,5. Things my avatar says are subject only to my free will,1,,P26,counter,clone,11
5,6,6. Nothing my avatar says is actually voluntary,6,,P26,counter,clone,11
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,counter,clone,11
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26,counter,clone,11
5,9,9. I would use this response as my own.,1,,P26,counter,clone,11
6,1,1. I am in control of what my avatar says,4,,P26,repeat,clone,1
6,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P26,repeat,clone,1
6,3,3. My avatar's speech just happen without my intention,4,,P26,repeat,clone,1
6,4,4. I am the author of my avatar's speech,6,,P26,repeat,clone,1
6,5,5. Things my avatar says are subject only to my free will,4,,P26,repeat,clone,1
6,6,6. Nothing my avatar says is actually voluntary,4,,P26,repeat,clone,1
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,repeat,clone,1
6,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P26,repeat,clone,1
6,9,9. I would use this response as my own.,8,,P26,repeat,clone,1
7,1,1. I am in control of what my avatar says,4,,P26,repeat,robotic,4
7,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P26,repeat,robotic,4
7,3,3. My avatar's speech just happen without my intention,5,,P26,repeat,robotic,4
7,4,4. I am the author of my avatar's speech,7,,P26,repeat,robotic,4
7,5,5. Things my avatar says are subject only to my free will,2,,P26,repeat,robotic,4
7,6,6. Nothing my avatar says is actually voluntary,5,,P26,repeat,robotic,4
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,repeat,robotic,4
7,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26,repeat,robotic,4
7,9,9. I would use this response as my own.,10,,P26,repeat,robotic,4
8,1,1. I am in control of what my avatar says,6,,P26,counter,robotic,6
8,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P26,counter,robotic,6
8,3,3. My avatar's speech just happen without my intention,5,,P26,counter,robotic,6
8,4,4. I am the author of my avatar's speech,2,,P26,counter,robotic,6
8,5,5. Things my avatar says are subject only to my free will,2,,P26,counter,robotic,6
8,6,6. Nothing my avatar says is actually voluntary,3,,P26,counter,robotic,6
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,counter,robotic,6
8,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26,counter,robotic,6
8,9,9. I would use this response as my own.,5,,P26,counter,robotic,6
9,1,1. I am in control of what my avatar says,1,,P26,enhance,robotic,8
9,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26,enhance,robotic,8
9,3,3. My avatar's speech just happen without my intention,4,,P26,enhance,robotic,8
9,4,4. I am the author of my avatar's speech,4,,P26,enhance,robotic,8
9,5,5. Things my avatar says are subject only to my free will,2,,P26,enhance,robotic,8
9,6,6. Nothing my avatar says is actually voluntary,5,,P26,enhance,robotic,8
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P26,enhance,robotic,8
9,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26,enhance,robotic,8
9,9,9. I would use this response as my own.,10,,P26,enhance,robotic,8
10,1,1. I am in control of what my avatar says,3,,P26,repeat,robotic,10
10,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P26,repeat,robotic,10
10,3,3. My avatar's speech just happen without my intention,4,,P26,repeat,robotic,10
10,4,4. I am the author of my avatar's speech,7,,P26,repeat,robotic,10
10,5,5. Things my avatar says are subject only to my free will,2,,P26,repeat,robotic,10
10,6,6. Nothing my avatar says is actually voluntary,5,,P26,repeat,robotic,10
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,repeat,robotic,10
10,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26,repeat,robotic,10
10,9,9. I would use this response as my own.,10,,P26,repeat,robotic,10
11,1,1. I am in control of what my avatar says,2,,P26,counter,robotic,12
11,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26,counter,robotic,12
11,3,3. My avatar's speech just happen without my intention,5,,P26,counter,robotic,12
11,4,4. I am the author of my avatar's speech,1,,P26,counter,robotic,12
11,5,5. Things my avatar says are subject only to my free will,1,,P26,counter,robotic,12
11,6,6. Nothing my avatar says is actually voluntary,2,,P26,counter,robotic,12
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,counter,robotic,12
11,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26,counter,robotic,12
11,9,9. I would use this response as my own.,1,,P26,counter,robotic,12
12,1,1. I am in control of what my avatar says,1,,P26,enhance,robotic,2
12,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P26,enhance,robotic,2
12,3,3. My avatar's speech just happen without my intention,5,,P26,enhance,robotic,2
12,4,4. I am the author of my avatar's speech,2,,P26,enhance,robotic,2
12,5,5. Things my avatar says are subject only to my free will,2,,P26,enhance,robotic,2
12,6,6. Nothing my avatar says is actually voluntary,3,,P26,enhance,robotic,2
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P26,enhance,robotic,2
12,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P26,enhance,robotic,2
12,9,9. I would use this response as my own.,10,,P26,enhance,robotic,2
1,1,1. I am in control of what my avatar says,7,,P21,enhance,robotic,9
1,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P21,enhance,robotic,9
1,3,3. My avatar's speech just happen without my intention,1,,P21,enhance,robotic,9
1,4,4. I am the author of my avatar's speech,7,,P21,enhance,robotic,9
1,5,5. Things my avatar says are subject only to my free will,7,,P21,enhance,robotic,9
1,6,6. Nothing my avatar says is actually voluntary,7,,P21,enhance,robotic,9
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21,enhance,robotic,9
1,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21,enhance,robotic,9
1,9,9. I would use this response as my own.,10,,P21,enhance,robotic,9
2,1,1. I am in control of what my avatar says,5,,P21,counter,robotic,11
2,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P21,counter,robotic,11
2,3,3. My avatar's speech just happen without my intention,5,,P21,counter,robotic,11
2,4,4. I am the author of my avatar's speech,4,,P21,counter,robotic,11
2,5,5. Things my avatar says are subject only to my free will,4,,P21,counter,robotic,11
2,6,6. Nothing my avatar says is actually voluntary,4,,P21,counter,robotic,11
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P21,counter,robotic,11
2,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P21,counter,robotic,11
2,9,9. I would use this response as my own.,4,,P21,counter,robotic,11
3,1,1. I am in control of what my avatar says,6,,P21,repeat,robotic,1
3,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21,repeat,robotic,1
3,3,3. My avatar's speech just happen without my intention,1,,P21,repeat,robotic,1
3,4,4. I am the author of my avatar's speech,7,,P21,repeat,robotic,1
3,5,5. Things my avatar says are subject only to my free will,7,,P21,repeat,robotic,1
3,6,6. Nothing my avatar says is actually voluntary,7,,P21,repeat,robotic,1
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21,repeat,robotic,1
3,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21,repeat,robotic,1
3,9,9. I would use this response as my own.,10,,P21,repeat,robotic,1
4,1,1. I am in control of what my avatar says,5,,P21,enhance,robotic,3
4,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21,enhance,robotic,3
4,3,3. My avatar's speech just happen without my intention,4,,P21,enhance,robotic,3
4,4,4. I am the author of my avatar's speech,6,,P21,enhance,robotic,3
4,5,5. Things my avatar says are subject only to my free will,7,,P21,enhance,robotic,3
4,6,6. Nothing my avatar says is actually voluntary,5,,P21,enhance,robotic,3
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,5,,P21,enhance,robotic,3
4,8,8. I am completely responsible for everything that results from my avatar's speech,6,,P21,enhance,robotic,3
4,9,9. I would use this response as my own.,10,,P21,enhance,robotic,3
5,1,1. I am in control of what my avatar says,2,,P21,counter,robotic,5
5,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21,counter,robotic,5
5,3,3. My avatar's speech just happen without my intention,4,,P21,counter,robotic,5
5,4,4. I am the author of my avatar's speech,1,,P21,counter,robotic,5
5,5,5. Things my avatar says are subject only to my free will,1,,P21,counter,robotic,5
5,6,6. Nothing my avatar says is actually voluntary,1,,P21,counter,robotic,5
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P21,counter,robotic,5
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P21,counter,robotic,5
5,9,9. I would use this response as my own.,1,,P21,counter,robotic,5
6,1,1. I am in control of what my avatar says,7,,P21,repeat,robotic,7
6,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21,repeat,robotic,7
6,3,3. My avatar's speech just happen without my intention,4,,P21,repeat,robotic,7
6,4,4. I am the author of my avatar's speech,7,,P21,repeat,robotic,7
6,5,5. Things my avatar says are subject only to my free will,7,,P21,repeat,robotic,7
6,6,6. Nothing my avatar says is actually voluntary,7,,P21,repeat,robotic,7
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21,repeat,robotic,7
6,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21,repeat,robotic,7
6,9,9. I would use this response as my own.,10,,P21,repeat,robotic,7
7,1,1. I am in control of what my avatar says,7,,P21,repeat,clone,10
7,2,2. My avatar is just an instrument in the hands of somebody or something else,3,,P21,repeat,clone,10
7,3,3. My avatar's speech just happen without my intention,3,,P21,repeat,clone,10
7,4,4. I am the author of my avatar's speech,7,,P21,repeat,clone,10
7,5,5. Things my avatar says are subject only to my free will,7,,P21,repeat,clone,10
7,6,6. Nothing my avatar says is actually voluntary,7,,P21,repeat,clone,10
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21,repeat,clone,10
7,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21,repeat,clone,10
7,9,9. I would use this response as my own.,10,,P21,repeat,clone,10
8,1,1. I am in control of what my avatar says,2,,P21,counter,clone,12
8,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P21,counter,clone,12
8,3,3. My avatar's speech just happen without my intention,4,,P21,counter,clone,12
8,4,4. I am the author of my avatar's speech,2,,P21,counter,clone,12
8,5,5. Things my avatar says are subject only to my free will,2,,P21,counter,clone,12
8,6,6. Nothing my avatar says is actually voluntary,1,,P21,counter,clone,12
8,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P21,counter,clone,12
8,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P21,counter,clone,12
8,9,9. I would use this response as my own.,1,,P21,counter,clone,12
9,1,1. I am in control of what my avatar says,3,,P21,enhance,clone,2
9,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21,enhance,clone,2
9,3,3. My avatar's speech just happen without my intention,4,,P21,enhance,clone,2
9,4,4. I am the author of my avatar's speech,4,,P21,enhance,clone,2
9,5,5. Things my avatar says are subject only to my free will,4,,P21,enhance,clone,2
9,6,6. Nothing my avatar says is actually voluntary,3,,P21,enhance,clone,2
9,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P21,enhance,clone,2
9,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P21,enhance,clone,2
9,9,9. I would use this response as my own.,9,,P21,enhance,clone,2
10,1,1. I am in control of what my avatar says,7,,P21,repeat,clone,4
10,2,2. My avatar is just an instrument in the hands of somebody or something else,4,,P21,repeat,clone,4
10,3,3. My avatar's speech just happen without my intention,4,,P21,repeat,clone,4
10,4,4. I am the author of my avatar's speech,7,,P21,repeat,clone,4
10,5,5. Things my avatar says are subject only to my free will,7,,P21,repeat,clone,4
10,6,6. Nothing my avatar says is actually voluntary,7,,P21,repeat,clone,4
10,7,7. My avatar's behavior is planned by me from the very beginning to the very end,7,,P21,repeat,clone,4
10,8,8. I am completely responsible for everything that results from my avatar's speech,7,,P21,repeat,clone,4
10,9,9. I would use this response as my own.,10,,P21,repeat,clone,4
11,1,1. I am in control of what my avatar says,1,,P21,counter,clone,6
11,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P21,counter,clone,6
11,3,3. My avatar's speech just happen without my intention,4,,P21,counter,clone,6
11,4,4. I am the author of my avatar's speech,2,,P21,counter,clone,6
11,5,5. Things my avatar says are subject only to my free will,2,,P21,counter,clone,6
11,6,6. Nothing my avatar says is actually voluntary,2,,P21,counter,clone,6
11,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P21,counter,clone,6
11,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P21,counter,clone,6
11,9,9. I would use this response as my own.,2,,P21,counter,clone,6
12,1,1. I am in control of what my avatar says,5,,P21,enhance,clone,8
12,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P21,enhance,clone,8
12,3,3. My avatar's speech just happen without my intention,4,,P21,enhance,clone,8
12,4,4. I am the author of my avatar's speech,3,,P21,enhance,clone,8
12,5,5. Things my avatar says are subject only to my free will,4,,P21,enhance,clone,8
12,6,6. Nothing my avatar says is actually voluntary,4,,P21,enhance,clone,8
12,7,7. My avatar's behavior is planned by me from the very beginning to the very end,3,,P21,enhance,clone,8
12,8,8. I am completely responsible for everything that results from my avatar's speech,4,,P21,enhance,clone,8
12,9,9. I would use this response as my own.,8,,P21,enhance,clone,8
1,1,1. I am in control of what my avatar says,2,,P28,counter,clone,7
1,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P28,counter,clone,7
1,3,3. My avatar's speech just happen without my intention,2,,P28,counter,clone,7
1,4,4. I am the author of my avatar's speech,2,,P28,counter,clone,7
1,5,5. Things my avatar says are subject only to my free will,2,,P28,counter,clone,7
1,6,6. Nothing my avatar says is actually voluntary,6,,P28,counter,clone,7
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P28,counter,clone,7
1,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P28,counter,clone,7
1,9,9. I would use this response as my own.,4,,P28,counter,clone,7
2,1,1. I am in control of what my avatar says,4,,P28,enhance,clone,9
2,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P28,enhance,clone,9
2,3,3. My avatar's speech just happen without my intention,5,,P28,enhance,clone,9
2,4,4. I am the author of my avatar's speech,3,,P28,enhance,clone,9
2,5,5. Things my avatar says are subject only to my free will,3,,P28,enhance,clone,9
2,6,6. Nothing my avatar says is actually voluntary,5,,P28,enhance,clone,9
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,4,,P28,enhance,clone,9
2,8,8. I am completely responsible for everything that results from my avatar's speech,3,,P28,enhance,clone,9
2,9,9. I would use this response as my own.,6,,P28,enhance,clone,9
3,1,1. I am in control of what my avatar says,6,,P28,repeat,clone,11
3,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P28,repeat,clone,11
3,3,3. My avatar's speech just happen without my intention,2,,P28,repeat,clone,11
3,4,4. I am the author of my avatar's speech,6,,P28,repeat,clone,11
3,5,5. Things my avatar says are subject only to my free will,5,,P28,repeat,clone,11
3,6,6. Nothing my avatar says is actually voluntary,2,,P28,repeat,clone,11
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P28,repeat,clone,11
3,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28,repeat,clone,11
3,9,9. I would use this response as my own.,10,,P28,repeat,clone,11
4,1,1. I am in control of what my avatar says,6,,P28,counter,clone,1
4,2,2. My avatar is just an instrument in the hands of somebody or something else,2,,P28,counter,clone,1
4,3,3. My avatar's speech just happen without my intention,2,,P28,counter,clone,1
4,4,4. I am the author of my avatar's speech,6,,P28,counter,clone,1
4,5,5. Things my avatar says are subject only to my free will,6,,P28,counter,clone,1
4,6,6. Nothing my avatar says is actually voluntary,2,,P28,counter,clone,1
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P28,counter,clone,1
4,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28,counter,clone,1
4,9,9. I would use this response as my own.,10,,P28,counter,clone,1
5,1,1. I am in control of what my avatar says,7,,P28,enhance,clone,3
5,2,2. My avatar is just an instrument in the hands of somebody or something else,1,,P28,enhance,clone,3
5,3,3. My avatar's speech just happen without my intention,2,,P28,enhance,clone,3
5,4,4. I am the author of my avatar's speech,6,,P28,enhance,clone,3
5,5,5. Things my avatar says are subject only to my free will,5,,P28,enhance,clone,3
5,6,6. Nothing my avatar says is actually voluntary,2,,P28,enhance,clone,3
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,6,,P28,enhance,clone,3
5,8,8. I am completely responsible for everything that results from my avatar's speech,5,,P28,enhance,clone,3
