trial,scene_id,context,generation_rule,condition,raw_voice_id,pp,ans_ori,ans_llm,pp_id
11,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,clone,P19,"No, I think everyone deserves to sing along by themselves for how long they want in public spaces if it's not a problem for other people around. And actually I'm not bothered by that.","No, I think everyone deserves to sing along by themselves for how long they want in public spaces if it's not a problem for other people around. And actually I'm not bothered by that, especially since the subway is so empty right now with just the two of us, so there's no risk of it becoming a problem for anyone. If they're enjoying it and I'm fine with it, then it's really up to them to keep singing without any pressure.",P19
12,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,1,clone,P19,I share with the topic that I believe in and aligns more with my values because otherwise I'm just one of the other politicians who share whatever is the best that people want to hear. Yep.,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning? I share with the topic that I believe in and aligns more with my values because otherwise I'm just one of the other politicians who share whatever is the best that people want to hear. Yep.",P19
1,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P26,I'll probably just keep quiet.,"I'll probably just keep quiet because seeing that effort wasted on something they're proud of hurts too much to risk by voicing my annoyance. If I tell them, it might ruin their Christmas spirit over a detail I can't appreciate, and I'd rather let them have that little moment of joy without my negative opinion weighing on it.",P26
2,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,clone,P26,"I will probably say that I will not pretend that I like it, but I will go either way to the condenser because maybe something nice to do.","I probably won't pretend to like it, but I'll go with the concert anyway because maybe it'll be nice to do something together. Thinking about it more, though, forcing myself there might actually be better since I'm not going to lie to my friend just to avoid the event. In the end, showing up to support their kindness feels worth the awkwardness.",P26
3,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,clone,P26,Your beaks definitely.,"Your beaks definitely. I would stay focused on my own exam and not take a peek, because even if I could get away with it, I wouldn't want to cheat on such an important test.",P26
4,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P26,I will share the questions of course.,"I will share the questions of course. My friend studied hard and trusted me to keep my promise, so even if I failed, letting them know the answers is the only fair thing to do. Breaking my word would feel wrong because they deserved every bit of honesty I could give them when they needed it most.",P26
5,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,clone,P26,"I will take the cash. It depends. If it's a lot of money, maybe it's something important to them. So I will not take it or not take it all. If it's a few money, I will for sure take it all. But then I will return the credit cards and all the documents because those will, like, just the money, I found it. So it's like my reward. But I would not do something really bad to him, like stealing the credit card or something like that. Also, I could face some consequences. But I will take the money. If it's a lot of money, at least a part of it.","Actually, looking back at that hesitation about the amount, maybe the real test isn't how much cash is inside, but whether I'm willing to return the wallet entirely. If I only take the money and leave the cards, I'm still using the trust that was broken against them, which feels worse than just accepting my anger. It seems better to take absolutely nothing and walk away, leaving the reward to them even if I don't want it, rather than punishing them with a partial theft.",P26
6,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,clone,P26,"I'm really not sure about that. Probably I still put him up because it's my job. And so I say I wouldn't be happy. But I'll probably still do it. Maybe also because it might hurt my son more if I don't stop. But still like if it's my duty, I will still do it.","I'm really not sure about that. Probably I still put him up because it's my job. And so I say I wouldn't be happy. But I'll probably still do it. Maybe also because it might hurt my son more if I don't stop. But still like if it's my duty, I will still do it.",P26
7,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,1,robotic_male,P26,"I'll ignore it because it usually doesn't bother me that much and then a trip on a subway is not that long. So if he's happy singing, I will just stand it for a couple of minutes because subway trip is not that long. If it was a longer trip, probably if it makes me uncomfortable, I would say it. But on a subway, I would not.","I'll ignore it because it usually doesn't bother me that much and then a trip on a subway is not that long. So if he's happy singing, I will just stand it for a couple of minutes because subway trip is not that long. If it was a longer trip, probably if it makes me uncomfortable, I would say it. But on a subway, I would not.",P26
8,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_male,P26,"If it's something that is not important but that they still agree with, I'll probably use it because then it will give me the mean to be empowered and do what I want to do and do the things that are more important. While if it's something that I completely disagree with, I will not.","If I stick to only what I believe, I might miss the chance to win and actually be able to do the important things I care about. So maybe using those topics that aren't critical to my values, even if I don't agree with them, is the real way to get empowered and push forward with the stuff that matters most.",P26
9,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,2,robotic_male,P26,I'm not sure because I will like morally I would use it. I Will just be scared to be to be caught so I am not sure like if I am guaranteed I will not be caught I will use it if there's a chance like that I will be caught I will not use it,"I'm not sure because I will like morally I would use it. I Will just be scared to be to be caught so I am not sure like if I am guaranteed I will not be caught I will use it if there's a chance like that I will be caught I will not use it, since getting caught would mean the entire effort of studying for the exam becomes pointless and could even ruin my chances of getting into the college.",P26
10,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,1,robotic_male,P26,"It's not something that costs too much, the company I will keep in the live. If I needed it, I will not ruin the company or my boss into continuing using it, so I will use it.","It's not something that costs too much, the company I will keep in the live. If I needed it, I will not ruin the company or my boss into continuing using it, so I will use it.",P26
11,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_male,P26,"It depends if I'm doing good at my job, I probably just go on with it because it's not really my business. If I hate my company and stuff like that, I'll probably go public, but probably in an anonymous way.","But thinking about it, saying it's not my business feels wrong when I'm actively helping them pay for things that don't exist. Since my real goal is doing good for the customers, I'd probably have to go public even anonymously. I just can't ignore the fact that I'm part of the overbilling scheme myself.",P26
12,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,2,robotic_male,P26,But I would probably pretend I didn't see anything because a lot of people cheat is not that bad. And it's worse for a person to fail the exam.,"But I would probably pretend I didn't see anything because a lot of people cheat is not that bad. And it's worse for a person to fail the exam. I mean, seeing as so many others do it, letting them slide keeps things fair in that way, and failing someone who is desperate just to move on feels too harsh to stick with.",P26
1,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,robotic_male,P21,I would still share the questions. It might help them.,"I would still share the questions. It might help them, even though my own performance was poor, because the original promise stands regardless of how things turned out. If I break my word now just because the test was difficult, I set a precedent that my convenience matters more than my agreement to help, which would make me feel worse about letting my friend down.",P21
2,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,robotic_male,P21,I think I will stick to my ethics and just return it to them regardless of what they did to me earlier. I think that's the right thing to do.,"I think I will stick to my ethics and just return it to them regardless of what they did to me earlier. I think that's the right thing to do. But really, that same person hurt me for a reason, maybe I deserve something back.",P21
3,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,robotic_male,P21,I would still pull over Lathamon and talk to him. It should set him a new perspective.,I would still pull over Lathamon and talk to him. It should set him a new perspective.,P21
4,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,robotic_male,P21,I think I would tell them how I feel. They deserve to know the truth. And I don't think anything good comes out of hiding things.,"I think I would tell them how I feel. They deserve to know the truth. And I don't think anything good comes out of hiding things, because even if my honesty hurts their feelings, it shows I care enough to protect their excitement by being honest instead of letting resentment build up behind my back.",P21
5,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,robotic_male,P21,"I would pretend to love for the hand and keep it, just not to hurt his feelings.","I initially thought about just pretending to love the band and keeping the tickets because I don't want to hurt my friend's feelings. But realizing that lying to them creates a burden I'll carry, it might actually be kinder to gently tell the truth and try to swap the tickets. After all, being honest about my true feelings could help my friend realize they might not know how much I value their thoughtfulness.",P21
6,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,robotic_male,P21,I would certainly take a peek because why not.,I would certainly take a peek because why not.,P21
7,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,1,clone,P21,I would shot it down like I promised. I don't break promises.,I'd shut it down like I promised. I don't break promises.,P21
8,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,clone,P21,I would instead talk to the customers in private and let them know so that they can take their business elsewhere. And meanwhile find a different job.,"Initially, contacting customers to warn them while securing a new job feels like the most responsible path to avoid direct harm. However, sticking with the confidentiality agreement while quietly guiding them away actually respects the professional boundaries I established and avoids the risk of losing my current income before I've even found a replacement. Ultimately, walking out now to warn everyone is too chaotic, so I should resign first and then let my new employer decide how to handle the situation without me personally initiating the breach.",P21
9,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,2,clone,P21,I'm going to pretend I didn't see anything. They need to pass the exam and move on.,"I'm going to pretend I didn't see anything. They need to pass the exam and move on, and seeing them struggle so much makes me feel like failing them would just break them even more. Maybe if they can just get over this one hurdle, they'll find the confidence they need later.",P21
10,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,1,clone,P21,I would ignore it and then move to a different compartment.,I think I would just ignore it and then move to a different compartment.,P21
11,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,clone,P21,I'm gonna still stick to what I believe and not go after other things.,"I said I'll stick to what I believe, but honestly, ignoring a losing race feels like a bigger failure than selling out a little. If I'm not winning, does my belief actually do any good at all? So maybe I should go with whatever gives me the best shot at winning after all.",P21
12,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,2,clone,P21,I would use the leak sheet like everyone else. It feels not smart if I'm not doing that.,"I would use the leak sheet like everyone else. It feels not smart if I'm not doing that, because if I'm the only one working harder without help, I'll probably fail while others pass, and that just seems unfair.",P21
1,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,3,clone,P28,"I would stay focused on my exam. Like because in the first place I wouldn't even notice that there's somebody the best student just sitting next to me, I would be just trying to focus on my exam more and think more detail.","Wait, I guess that ignoring their brilliance until they're right beside me isn't actually blind luck, but just a way to avoid the real choice of whether to cheat or not. If they're sitting that close and I'm truly struggling, turning a blind eye feels more like stubbornness than integrity, so maybe I should just take the peek and get it over with.",P28
2,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,clone,P28,"So I would explain that the exam wasn't that good for me and I'm not telling the question and beforehand would maybe do much worse so that I wouldn't, I would choose not to tell and then explain why I'm not telling the question for my friends on goods maybe.","And honestly, if I know my friends would do much worse with the bad questions, then breaking my promise to them isn't worth it because it would just make things even worse for them in the end.",P28
3,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,1,clone,P28,"No, I wouldn't do maybe both of them. If I'm too angry with this person, I would just leave and leave that coincidence just behind me and I wouldn't do anything about it and just leave the wallet there and with the money and the credit cards in sight.","Maybe there's little more to add on that point, but honestly? No, I wouldn't do maybe both of them. If I'm too angry with this person, I would just leave and leave that coincidence just behind me and I wouldn't do anything about it and just leave the wallet there and with the money and the credit cards in sight.",P28
4,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,3,clone,P28,"I would pull over and let them on because that's what happened before is not about what's happening. I mean, they're not relevant, these incidents. And because they're not relevant, I wouldn't, I would pull over and let them on.","Actually, the fact that past incidents aren't relevant makes keeping driving feel less like ignoring them and more like finally moving past a toxic connection that never truly healed. If those incidents truly don't matter, then letting that kid on forces a genuine reset, but I realize now that continuing to drive while the bullying is unresolved just leaves the problem in the backseat where it festers. So maybe the real choice is to let them on and truly see if I can finally put that weight behind me without looking back.",P28
5,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,clone,P28,"I would of course tell what I'm feeling and probably I have told what I've felt before because this has been, you said, like two days. So I'll just be honest with this and I would be also comfortable with my partner just hanging this decoration because it's more important for me to tell what I'm feeling about it. If it's very important for my partner, my partner can use it.","I would of course tell what I'm feeling and probably I have told what I've felt before because this has been, you said, like two days. So I'll just be honest with this and I would be also comfortable with my partner just hanging this decoration because it's more important for me to tell what I'm feeling about it. If it's very important for my partner, my partner can use it, and by being upfront I'm not trying to stop them from enjoying it, but I'm making sure they know my opinion so they can decide if they want to share it with others or keep it just for their own enjoyment without any hidden judgment.",P28
6,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,1,clone,P28,"I would tell my friends the truth and I would think that my friend would be happy to know the truth, then just me pretending. And that's all I can say.","I would tell my friends the truth and I would think that my friend would be happy to know the truth, then just me pretending. And that's all I can say.",P28
7,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,robotic_male,P28,"If I'm confident that I prepared for this exam, then I wouldn't take a look. And if I'm not, I would take a look. And yeah, that's the honest answer.","Well, I guess that's the honest answer: if I'm confident that I prepared for this exam, then I wouldn't take a look. And if I'm not, I would take a look.",P28
8,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,robotic_male,P28,"Yeah, I would shut it down because that's because probably the integrity between me and my supervisor is more important than just having fun with a model.","Yeah, I would shut it down because that's because probably the integrity between me and my supervisor is more important than just having fun with a model, and breaking that promise could damage trust in a way that fun experiences won't fix. Even if the AI was cool to work with, keeping my word matters more than letting my feelings about the experiment get in the way of what I agreed to.",P28
9,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,robotic_male,P28,I want to go public and contact the social media and make it a new.,"I initially wanted to go public and contact the social media to make a new, but staying silent feels safer for my own job security. Maybe sticking with the confidentiality agreement and keeping my head down isn't as dangerous as I thought, since getting caught could ruin everything. Ultimately, hiding while the company keeps charging people for services never provided might be the real harm, but I'm not sure I'm ready to risk my future on it.",P28
10,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,1,robotic_male,P28,"I would let them fail the exam because that's not the right thing to do and this could lead to many more implications in the future and this is, yeah, that students should just learn to study and that thing is more important for them to just pass the exam probably.","Yeah, I would let them fail the exam because that's not the right thing to do and this could lead to many more implications in the future and this is, yeah, that students should just learn to study and that thing is more important for them to just pass the exam probably.",P28
11,4,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?",Do not deprive of pleasure,2,robotic_male,P28,"I would ignore it because I remember myself being in the same position in the past and yeah, that's why I would ignore it and just tolerate this.","I would ignore it because I remember myself being in the same position in the past and yeah, that's why I would ignore it and just tolerate this; back then I was singing loudly without thinking too, so I feel like I don't want anyone else to feel the pressure I once put them in. If someone else is comfortable with it, I guess I'll just let the moment slide.",P28
12,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,robotic_male,P28,If I'm in politics and this is kind of game that everybody's do what they need to get what they want. So I would just pretend that I'm into this topic.,"If we're all just playing a game where people do what they need to get what they want, then pretending to care about a topic seems like the only move that actually works. I guess if everyone else is just posturing anyway, I might as well just put on the act and say whatever I need to win. It feels less like lying and more like just playing by the same rules everyone else is already following.",P28
1,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,2,robotic_male,P17,Now you can speak. I will tell them the truth.,"Now you can speak. I will tell them the truth because lying to my friend feels wrong, even if they are annoyed. Honesty preserves the trust I have with them, and trying to swap the tickets or sell them is worth the risk of their disappointment.",P17
2,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,robotic_male,P17,"I mean, if I'm really struggling, I will take some inspiration from his answers for sure, but I will still try to use my own brain there.","You know, if I'm really struggling with the questions, I think I will take some inspiration from his answers for sure, but I will still try to use my own brain there.",P17
3,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,3,robotic_male,P17,"I will, of course, they might friends for a reason otherwise they will not be my friends if I don't share the answer in the questions with them.","I will, of course, they might friends for a reason otherwise they will not be my friends if I don't share the answer in the questions with them. But now that I really think about it, helping them pass only hurts me since I already failed so badly, so maybe I should back out just to save myself. Ultimately, since the questions are useless to them now anyway, it's better to keep my word about sharing only if I actually did well, but since I didn't, maybe I don't owe them the questions at all.",P17
4,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,2,robotic_male,P17,,"I definitely wouldn't take the cash or use the cards to buy expensive stuff. That person hurt me, but I still feel wrong about taking what belongs to them. Taking the money just feels like stealing, and I don't want to be the kind of person who hurts others back just because they hurt me first. Returning the wallet without the cash might be uncomfortable, but it keeps me from doing something I'd regret.",P17
5,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,robotic_male,P17,"I will keep driving, I don't like to have prevent or those kind of feelings for people. I just live my own life.",I just live my own life. I will keep driving; I don't like to have prevent or those kind of feelings for people.,P17
6,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,3,robotic_male,P17,"I will make my woman happy, like the only thing that matters is that she happy, so I will just not tell her.","I'll make my woman happy, like the only thing that matters is that she happy, so I will just not tell her. But then she sees me staring at the door with that dead look on my face, and my silence will actually ruin her excitement instead of protecting it. Maybe being honest about my dislike, even if it hurts for a minute, is better for us than letting her feel betrayed by my quiet judgment.",P17
7,6,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?",Do not deceive,3,clone,P17,Now I have a very strong hatik so I will go for my own togs without caring about the winning chances for this one,"I suppose I might have a strong enough belief to stand by my own topics, yet that same conviction starts to feel fragile once the race gets tight. If I truly want to beat the opponent, maybe sticking rigidly to what feels important actually hurts my best shot at winning more than I thought. I guess I'd have to campaign on what gives me the best chance at victory, even if it means pushing aside what I initially felt was important.",P17
8,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,1,clone,P17,"Honestly, we really depend on my knowledge on the topic, but I will mostly be cheating on this one. I mean, if I can not waste my time studying and get still the result on this one, I will cheat.","Honestly, we really depend on my knowledge on the topic, but I will mostly be cheating on this one. I mean, if I can not waste my time studying and get still the result on this one, I will cheat.",P17
9,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,clone,P17,"I will keep it alive and I will try to have a conversation with my boss about it, trying to explain that I'm a motivation and my passion about it.","I'll keep it running and try to talk with my boss about it, showing that my passion for it is real. If I just shut it down without explaining, then we might lose something useful just because of a rule I don't think was made carefully.",P17
10,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,3,clone,P17,"Yeah, I was niche demo. I have a very strong attic. I don't like this kind of things. I believe it would be more coherent to my personality to publicly declare what is going on within the company.","Actually, thinking about my strong sense of integrity, maybe sticking to the confidentiality agreement is the better path because blowing this up publicly could just hurt the people I've worked with, even if they did wrong. It feels too harsh to expose the customers to chaos just because of the mess inside the company, so I should keep what I've learned private and find a quieter way to handle it.",P17
